SDL version, SDL name, Category (SDL file), Module, OCaml name, raw signature, API sig
3.2.0, SDL_CreateRWLock, Mutex, RWLock, create, void @-> returning (some_to_ok rw_lock_opt), unit -> (rw_lock option) result
3.2.0, SDL_CreateRenderer, Render, Renderer, create, window @-> string @-> returning (some_to_ok renderer_opt), window -> string -> (renderer option) result
3.2.0, SDL_CreateRendererWithProperties, Render, Renderer, create_with_properties, properties_id @-> returning (some_to_ok renderer_opt), int -> (renderer option) result
3.2.0, SDL_CreateSemaphore, Mutex, Semaphore, create, uint32 @-> returning (some_to_ok semaphore_opt), int -> (semaphore option) result
3.2.0, SDL_CreateSoftwareRenderer, Render, Renderer, create_software, surface @-> returning (some_to_ok renderer_opt), surface -> (renderer option) result
3.2.0, SDL_CreateStorageDirectory, Storage, Storage, create_directory, storage @-> string @-> returning true_to_ok, storage -> string -> unit result
3.2.0, SDL_CreateSurface, Surface, Surface, create, int @-> int @-> pixel_format @-> returning (some_to_ok surface_opt), int -> int -> pixel_format -> (surface option) result
3.2.0, SDL_CreateSurfaceFrom, Surface, Surface, create_from, int @-> int @-> pixel_format @-> ptr void @-> int @-> returning (some_to_ok surface_opt), int -> int -> pixel_format -> ptr void -> int -> (surface option) result
3.2.0, SDL_CreateSurfacePalette, Surface, Surface, create_palette, surface @-> returning (some_to_ok palette_opt), surface -> (palette option) result
3.2.0, SDL_CreateSystemCursor, Mouse, SystemCursor, create, system_cursor @-> returning (some_to_ok cursor_opt), system_cursor -> (cursor option) result
3.2.0, SDL_CreateTexture, Render, Texture, create, renderer @-> pixel_format @-> texture_access @-> int @-> int @-> returning (some_to_ok texture_opt), renderer -> pixel_format -> texture_access -> int -> int -> (texture option) result
3.2.0, SDL_CreateTextureFromSurface, Render, Texture, create_from_surface, renderer @-> surface @-> returning (some_to_ok texture_opt), renderer -> surface -> (texture option) result
3.2.0, SDL_CreateTextureWithProperties, Render, Texture, create_with_properties, renderer @-> properties_id @-> returning (some_to_ok texture_opt), renderer -> int -> (texture option) result
3.2.0, SDL_CreateThreadRuntime, Thread, Thread, create_runtime, thread_function @-> string @-> ptr void @-> function_pointer_opt @-> function_pointer_opt @-> returning (some_to_ok thread_opt), thread_function -> string -> ptr void -> function_pointer option -> function_pointer option -> (thread option) result
3.2.0, SDL_CreateThreadWithPropertiesRuntime, Thread, Thread, create_with_properties_runtime, properties_id @-> function_pointer_opt @-> function_pointer_opt @-> returning (some_to_ok thread_opt), int -> function_pointer option -> function_pointer option -> (thread option) result
3.2.0, SDL_CreateTray, Tray, Tray, create, surface_opt @-> string @-> returning (some_to_ok tray_opt), surface option -> string -> (tray option) result
3.2.0, SDL_CreateTrayMenu, Tray, Tray, create_menu, tray @-> returning (some_to_ok tray_menu_opt), tray -> (tray_menu option) result
3.2.0, SDL_CreateTraySubmenu, Tray, Tray, create_submenu, tray_entry @-> returning (some_to_ok tray_menu_opt), tray_entry -> (tray_menu option) result
3.2.0, SDL_CreateWindow, Video, Window, create, string @-> int @-> int @-> window_flags @-> returning (some_to_ok window_opt), string -> int -> int -> int64 -> (window option) result
3.2.0, SDL_CreateWindowAndRenderer, Render, , create_window_and_renderer, string @-> int @-> int @-> window_flags @-> ptr window @-> ptr renderer @-> returning bool, string -> int -> int -> int64 -> (window * renderer) result
3.2.0, SDL_CreateWindowWithProperties, Video, Window, create_with_properties, properties_id @-> returning (some_to_ok window_opt), int -> (window option) result
3.2.0, SDL_CursorVisible, Mouse, , cursor_visible, void @-> returning true_to_ok, unit -> unit result
3.2.0, SDL_DateTimeToTime, Time, DateTime, to_time, ptr date_time @-> ptr time @-> returning bool, ptr date_time -> int
3.2.0, SDL_Delay, Timer, , delay, uint32 @-> returning void, int -> unit
3.2.0, SDL_DelayNS, Timer, , delay_ns, uint64 @-> returning void, int64 -> unit
3.2.0, SDL_DelayPrecise, Timer, , delay_precise, uint64 @-> returning void, int64 -> unit
3.2.0, SDL_DestroyAsyncIOQueue, Asyncio, AsyncIO, destroy_queue, async_io_queue @-> returning void, async_io_queue -> unit
3.2.0, SDL_DestroyAudioStream, Audio, AudioStream, destroy, audio_stream @-> returning void, audio_stream -> unit
3.2.0, SDL_DestroyCondition, Mutex, Condition, destroy, condition @-> returning void, condition -> unit
3.2.0, SDL_DestroyCursor, Mouse, Cursor, destroy, cursor @-> returning void, cursor -> unit
3.2.0, SDL_DestroyEnvironment, Stdinc, Environment, destroy, environment @-> returning void, environment -> unit
3.2.0, SDL_DestroyGPUDevice, Gpu, GPUDevice, destroy, gpu_device @-> returning void, gpu_device -> unit
3.2.0, SDL_DestroyHapticEffect, Haptic, Haptic, destroy_effect, haptic @-> haptic_effect_id @-> returning void, haptic -> haptic_effect_id (* int *) -> unit
3.2.0, SDL_DestroyMutex, Mutex, Mutex, destroy, mutex @-> returning void, mutex -> unit
3.2.0, SDL_DestroyPalette, Pixels, Palette, destroy, palette @-> returning void, palette -> unit
3.2.0, SDL_DestroyProcess, Process, Process, destroy, process @-> returning void, process -> unit
3.2.0, SDL_DestroyProperties, Properties, Properties, destroy, properties_id @-> returning void, int -> unit
